United States
10,"Can't Feel My Face","The Weeknd",521571,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
11,"Where Are Ü Now (with Justin Bieber)","Jack Ü",476583,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
12,Sosseguei,"Jorge & Mateus",457460,https://open.spotify.com/track/4goNqp6L6of6FoJ8gH4RBP
13,"The Hills","The Weeknd",414426,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
14,"Drag Me Down","One Direction",401225,https://open.spotify.com/track/2K87XMYnUMqLcX3zvtAF4G
15,Photograph,"Ed Sheeran",400345,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
16,Focus,"Ariana Grande",393424,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
17,"I'll Show You","Justin Bieber",387823,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
18,"Que Sorte A Nossa - Live","Matheus & Kauan",383941,https://open.spotify.com/track/4rWCLK8mfQ6JpArmgIT8aK
19,"Sugar (feat. Francesco Yates)","Robin Schulz",370243,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
20,Stitches,"Shawn Mendes",368237,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
21,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,367676,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
22,"Same Old Love","Selena Gomez",350654,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
23,"Bitch Better Have My Money",Rihanna,349998,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
24,Sugar,"Maroon 5",339323,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
25,"On My Mind","Ellie Goulding",337857,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
26,"Waiting For Love",Avicii,327387,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
27,Confident,"Demi Lovato",324742,https://open.spotify.com/track/6WjmPTZKeDylStKmGHLcqQ
28,"Thinking Out Loud","Ed Sheeran",322500,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
29,"Cool for the Summer","Demi Lovato",320668,https://open.spotify.com/track/73Qlt0XuhuYzEigjitm2ze
30,"Worth It","Fifth Harmony",308804,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
31,"Nada Nada (Ao Vivo) - Ao Vivo","Henrique & Juliano",305748,https://open.spotify.com/track/49OSjPdUsdhBKVb5975wJc
32,"Watch Me (Whip / Nae Nae)",Silentó,304629,https://open.spotify.com/track/1CvhKmrutTAta5awpJcFDn
33,"Suíte 14 - Ao Vivo","Henrique & Diego",300531,https://open.spotify.com/track/4lbPwb1Beo7JU2VwuJRTeR
34,"Os Anjos Cantam","Jorge & Mateus",297534,https://open.spotify.com/track/6ccKu0LwJzOhLAxBwP2PTk
35,Camarote,"Wesley Safadão",294621,https://open.spotify.com/track/77VvA3wNFxm1P9amCKlVHQ
36,"Adventure Of A Lifetime",Coldplay,292495,https://open.spotify.com/track/4MFCXniy7I8tj0GXtf3wgC
37,"Want To Want Me","Jason Derulo",292336,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
38,"Na Hora da Raiva (Ao Vivo) - Ao Vivo","Henrique & Juliano",287576,https://open.spotify.com/track/3J1ugmgR3UMbqA7VT5AwdN
39,Perfect,"One Direction",286354,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
40,"Good For You","Selena Gomez",285344,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
41,"Ain't Nobody (Loves Me Better)","Felix Jaehn",281858,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
42,"Hey Mama (feat. Nicki Minaj Bebe Rexha & Afrojack)","David Guetta",279373,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
43,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,275264,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
44,"Locked Away","R. City",261229,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
45,Here,"Alessia Cara",258543,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
46,"Made In Roça",Loubet,254132,https://open.spotify.com/track/7clSIA4MRU6LJAoCWWEiuy
47,"Bang Bang","Jessie J",249387,https://open.spotify.com/track/3SaIsrEzrQGDcG1jCeaK8q
